tipoProducto,codigoDncp,nombre,estado,codigo,mapa,clasificadorProducto,subclasificadorProducto,concentracion,formaFarmaceutica,presentacion,codigoGrupoFarmacologico,nombreGrupoFarmacologico,codigoSubgrupoFarmacologico,nombreSubgrupoFarmacologico,tipoAdquisicion,id
"MEDICAMENTO","51191602-002","SOLUCION FISIOLOGICA (CLORURO DE SODIO)","HABILITADO","2859","false","","","0,09 %","INYECTABLE","FRASCO","","","","","DONACION","47570",
"MEDICAMENTO","51191602-002","SOLUCION FISIOLOGICA (CLORURO DE SODIO)","HABILITADO","2860","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PERFUSIÓN","0,9 %","INYECTABLE","FRASCO 250ML","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","5","MEDICAMENTO -SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PERFUSIÓN","LISTADO BASICO","47571",
"MEDICAMENTO","51191602-002","SOLUCION FISIOLOGICA (CLORURO DE SODIO)","HABILITADO","2861","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PERFUSIÓN","0,9 %","INYECTABLE","FRASCO 500ML","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","5","MEDICAMENTO -SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PERFUSIÓN","LISTADO BASICO","47572",
"MEDICAMENTO","51171911-003","SUCRALFATO","HABILITADO","2862","false","TRACTO ALIMENTARIO Y METABOLISMO","MEDICAMENTO -AGENTES PARA EL TRATAMIENTO DE ALTERACIONES CAUSADAS POR ÁCIDOS","20 G /100 ML __","LIQUIDO ORAL","FRASCO 100ML","A","TRACTO ALIMENTARIO Y METABOLISMO","2","MEDICAMENTO -AGENTES PARA EL TRATAMIENTO DE ALTERACIONES CAUSADAS POR ÁCIDOS","LISTADO BASICO","47573",
"MEDICAMENTO","","SUERO ANTIOFIDICO MONOVALENTE BOTHROPICO","HABILITADO","2863","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -SUEROS INMUNES E INMUNOGLOBULINAS","50 MG __","INYECTABLE","AMPOLLA X 10 ML","","ANTIINFECCIOSOS PARA USO SISTEMICO","","MEDICAMENTO -SUEROS INMUNES E INMUNOGLOBULINAS","DONACION","47574",
"MEDICAMENTO","51201601-9999","SUERO ANTIOFIDICO MONOVALENTE CROTALICO","HABILITADO","2864","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -SUEROS INMUNES E INMUNOGLOBULINAS","15 MG __","INYECTABLE","AMPOLLA X 10 ML","J","ANTIINFECCIOSOS PARA USO SISTEMICO","6","MEDICAMENTO -SUEROS INMUNES E INMUNOGLOBULINAS","LISTADO BASICO","47575",
"MEDICAMENTO","51201601-005","SUERO ANTIOFIDICO POLIVALENTE","HABILITADO","2865","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -SUEROS INMUNES E INMUNOGLOBULINAS","30 MG ANTIBOTHROPICO+15 MG CROTALICO+20 MG LACHESI __","INYECTABLE","AMPOLLA X 10 ML","J","ANTIINFECCIOSOS PARA USO SISTEMICO","6","MEDICAMENTO -SUEROS INMUNES E INMUNOGLOBULINAS","LISTADO BASICO","47576",
"MEDICAMENTO","","SUERO ANTIRRABICO HUMANO HETEROLOGO","HABILITADO","2866","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -SUEROS INMUNES E INMUNOGLOBULINAS","NORMA PAI __","INYECTABLE","NORMA PAI","J","ANTIINFECCIOSOS PARA USO SISTEMICO","6","MEDICAMENTO -SUEROS INMUNES E INMUNOGLOBULINAS","LISTADO BASICO","47577",
"MEDICAMENTO","51101508-999","SULFADIAZINA","HABILITADO","2867","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","500 MG __","COMPRIMIDO","BLISTER X 10","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47578",
"MEDICAMENTO","","SULFADOXINA + PIRIMETAMINA","HABILITADO","2868","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","500 MG+25 MG __","COMPRIMIDO","PROGRAMA MALARIA","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47579",
"MEDICAMENTO","51102213-004","SULFAMETOXAZOL - TRIMETOPRIMA","HABILITADO","2869","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","800 + 160 MG __","COMPRIMIDO","BLISTER X 10","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47580",
"MEDICAMENTO","51102213-003","SULFAMETOXAZOL - TRIMETOPRIMA","HABILITADO","2870","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","200 + 40 MG/5ML __","LIQUIDO ORAL","FRASCO","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47581",
"MEDICAMENTO","51102213-008","SULFAMETOXAZOL - TRIMETOPRIMA","HABILITADO","2871","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","80 MG + 16 MG/ML __","INYECTABLE","AMPOLLA 5ML","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47582",
"MEDICAMENTO","","SULFATO DE MAGNESIO","HABILITADO","2872","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PERFUSIÓN","50% (0,5 G / 1 ML) __","INYECTABLE","AMPOLLA X 5 ML","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","5","MEDICAMENTO -SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PERFUSIÓN","LISTADO BASICO","47583",
"MEDICAMENTO","51131503-004","SULFATO FERROSO (HIERRO ELEMENTAL) + ACIDO FOLICO","HABILITADO","2873","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -PREPARADOS ANTIANÉMICOS","70 - 150 MGR + 0.25 - 1MGR/5ML __","LIQUIDO ORAL","FRASCO","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","3","MEDICAMENTO -PREPARADOS ANTIANÉMICOS","LISTADO BASICO","47584",
"MEDICAMENTO","51161704-001","SURFACTANTE PULMONAR","HABILITADO","2874","false","SISTEMA RESPIRATORIO","MEDICAMENTO -OTROS PRODUCTOS PARA EL SISTEMA RESPIRATORIO","25 A 30 MG/ML __","INYECTABLE","FRASCO","R","SISTEMA RESPIRATORIO","7","MEDICAMENTO -OTROS PRODUCTOS PARA EL SISTEMA RESPIRATORIO","LISTADO BASICO","47585",
"MEDICAMENTO","","TACROLIMUS","HABILITADO","2875","false","ANTINEOPLASICOS E INMUNOMODULARES","MEDICAMENTO -INMUNOSUPRESORES","5 MG __","COMPRIMIDO","BLISTER X 10","L","ANTINEOPLASICOS E INMUNOMODULARES","4","MEDICAMENTO -INMUNOSUPRESORES","LISTADO BASICO","47586",
"MEDICAMENTO","51201809-002","TALIDOMIDA","HABILITADO","2876","false","ANTINEOPLASICOS E INMUNOMODULARES","MEDICAMENTO -INMUNOSUPRESORES","100 MG _","COMPRIMIDO","BLISTER X 10","L","ANTINEOPLASICOS E INMUNOMODULARES","4","MEDICAMENTO -INMUNOSUPRESORES","LISTADO BASICO","47587",
"MEDICAMENTO","","TENOFOVIR","HABILITADO","2877","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","300 MG __","COMPRIMIDO","BLISTER X 10","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47588",
"MEDICAMENTO","51101818-002","TERBINAFINA","HABILITADO","2878","false","DERMATOLOGICOS","MEDICAMENTO -ANTIFÚNGICOS PARA USO DERMATOLÓGICO","0,01 __","CREMA","TUBO","D","DERMATOLOGICOS","1","MEDICAMENTO -ANTIFÚNGICOS PARA USO DERMATOLÓGICO","LISTADO BASICO","47589",
"MEDICAMENTO","51101707-9999","TIABENDAZOL","HABILITADO","2879","false","ANTIPARASITARIOS, INSECTICIDAS Y REPELENTES","MEDICAMENTO -ANTIHELMÍNTICOS","500 MG __","COMPRIMIDO","BLISTER X 10","P","ANTIPARASITARIOS, INSECTICIDAS Y REPELENTES","2","MEDICAMENTO -ANTIHELMÍNTICOS","LISTADO BASICO","47590",
"MEDICAMENTO","51101707-9998","TIABENDAZOL","HABILITADO","2880","false","ANTIPARASITARIOS, INSECTICIDAS Y REPELENTES","MEDICAMENTO -ANTIHELMÍNTICOS","500 MG /5 ML __","LIQUIDO ORAL","FRASCO","P","ANTIPARASITARIOS, INSECTICIDAS Y REPELENTES","2","MEDICAMENTO -ANTIHELMÍNTICOS","LISTADO BASICO","47591",
"MEDICAMENTO","51241115-002","TIMOLOL","HABILITADO","2881","false","ORGANOS DE LOS SENTIDOS","MEDICAMENTO -OFTALMOLÓGICOS","0,50 %","SOLUCION OFTALMICA","FRASCO GOTERO","S","ORGANOS DE LOS SENTIDOS","1","MEDICAMENTO -OFTALMOLÓGICOS","LISTADO BASICO","47592",
"MEDICAMENTO","51101617-001","TINIDAZOL","HABILITADO","2882","false","ANTIPARASITARIOS, INSECTICIDAS Y REPELENTES","MEDICAMENTO -ANTIPROTOZOARIOS","1 GR _","COMPRIMIDO","BLISTER X 10","P","ANTIPARASITARIOS, INSECTICIDAS Y REPELENTES","1","MEDICAMENTO -ANTIPROTOZOARIOS","LISTADO BASICO","47593",
"MEDICAMENTO","","TIOACETAZONA + ISONIAZIDA (INH)","HABILITADO","2883","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIMICOBATERIAS (TUBERCULOSIS Y LEPRA)","150 MG + 300 MG __","COMPRIMIDO","NORMA PROGRAMA TB","J","ANTIINFECCIOSOS PARA USO SISTEMICO","4","MEDICAMENTO -ANTIMICOBATERIAS (TUBERCULOSIS Y LEPRA)","LISTADO BASICO","47594",
"MEDICAMENTO","","TIPRANAVIR + RITONAVIR","HABILITADO","2884","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","500 + 200 MG __","COMPRIMIDO","BLISTER X 10","","ANTIINFECCIOSOS PARA USO SISTEMICO","","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","DONACION","47595",
"MEDICAMENTO","51191905-047","TOCOFEROL (VITAMINA E)","HABILITADO","2885","false","TRACTO ALIMENTARIO Y METABOLISMO","MEDICAMENTO -VITAMINAS","200 UI __","CAPSULA BLANDA","BLISTER X 10","A","TRACTO ALIMENTARIO Y METABOLISMO","11","MEDICAMENTO -VITAMINAS","LISTADO BASICO","47596",
"MEDICAMENTO","","VACUNA ANTI FIEBRE AMARILLA","HABILITADO","2886","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -VACUNAS","NORMA PAI __","INYECTABLE","NORMA PAI","J","ANTIINFECCIOSOS PARA USO SISTEMICO","7","MEDICAMENTO -VACUNAS","LISTADO BASICO","47597",
"MEDICAMENTO","","VACUNA ANTIHEPATITIS B","HABILITADO","2887","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -VACUNAS","NORMA PAI __","INYECTABLE","NORMA PAI","J","ANTIINFECCIOSOS PARA USO SISTEMICO","7","MEDICAMENTO -VACUNAS","LISTADO BASICO","47598",
"MEDICAMENTO","","VACUNA ANTIPOLIOMIELITICA TRIVALENTE (TIPO SABIN)","HABILITADO","2888","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -VACUNAS","NORMA PAI __","INYECTABLE","NORMA PAI","J","ANTIINFECCIOSOS PARA USO SISTEMICO","7","MEDICAMENTO -VACUNAS","LISTADO BASICO","47599",
"MEDICAMENTO","","VACUNA ANTIRABICA DE USO CANINO","HABILITADO","2889","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -VACUNAS","NORMA PAI __","INYECTABLE","NORMA PAI","J","ANTIINFECCIOSOS PARA USO SISTEMICO","7","MEDICAMENTO -VACUNAS","LISTADO BASICO","47600",
"MEDICAMENTO","","VACUNA ANTIRABICA DE USO HUMANO","HABILITADO","2890","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -VACUNAS","NORMA PAI __","INYECTABLE","NORMA PAI","J","ANTIINFECCIOSOS PARA USO SISTEMICO","7","MEDICAMENTO -VACUNAS","LISTADO BASICO","47601",
"MEDICAMENTO","","VACUNA ANTIROTAVIRUS","HABILITADO","2891","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -VACUNAS","NORMA PAI __","INYECTABLE","NORMA PAI","J","ANTIINFECCIOSOS PARA USO SISTEMICO","7","MEDICAMENTO -VACUNAS","LISTADO BASICO","47602",
"MEDICAMENTO","","VACUNA BCG (BACCILLE CALMETTE GUERIN)","HABILITADO","2892","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -VACUNAS","NORMA PAI __","INYECTABLE","NORMA PAI","J","ANTIINFECCIOSOS PARA USO SISTEMICO","7","MEDICAMENTO -VACUNAS","LISTADO BASICO","47603",
"MEDICAMENTO","","VACUNA CONJUGADA ANTINEUMOCOCICA","HABILITADO","2893","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -VACUNAS","NORMA PAI __","INYECTABLE","NORMA PAI","J","ANTIINFECCIOSOS PARA USO SISTEMICO","7","MEDICAMENTO -VACUNAS","LISTADO BASICO","47604",
"MEDICAMENTO","","VACUNA DOBLE DT (DIFTERIA, TETANOS)","HABILITADO","2894","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -VACUNAS","NORMA PAI __","INYECTABLE","NORMA PAI","J","ANTIINFECCIOSOS PARA USO SISTEMICO","7","MEDICAMENTO -VACUNAS","LISTADO BASICO","47605",
"MEDICAMENTO","","VACUNA PENTAVALENTE (DPT+HEPATITIS B+HAEMOPHILUS INFLUENZAE B)","HABILITADO","2895","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -VACUNAS","NORMA PAI __","INYECTABLE","NORMA PAI","J","ANTIINFECCIOSOS PARA USO SISTEMICO","7","MEDICAMENTO -VACUNAS","LISTADO BASICO","47606",
"MEDICAMENTO","","VACUNA SPR (SARAMPION, PAPERAS Y RUBEOLA)","HABILITADO","2896","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -VACUNAS","NORMA PAI __","INYECTABLE","NORMA PAI","J","ANTIINFECCIOSOS PARA USO SISTEMICO","7","MEDICAMENTO -VACUNAS","LISTADO BASICO","47607",
"MEDICAMENTO","","VACUNA TRIPLE DPT (DIFTERIA, PERTUSIS,TETANOS)","HABILITADO","2897","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -VACUNAS","NORMA PAI __","INYECTABLE","NORMA PAI","J","ANTIINFECCIOSOS PARA USO SISTEMICO","7","MEDICAMENTO -VACUNAS","LISTADO BASICO","47608",
"MEDICAMENTO","51121733-001","VALSARTAN","HABILITADO","2898","false","SISTEMA CARDIOVASCULAR","MEDICAMENTO -ANGENTES QUE ACTÚAN SOBRE EL SISTEMA RENINA-ANGIOTENSINA","160 MG __","COMPRIMIDO","BLISTER X 10","C","SISTEMA CARDIOVASCULAR","9","MEDICAMENTO -ANGENTES QUE ACTÚAN SOBRE EL SISTEMA RENINA-ANGIOTENSINA","LISTADO BASICO","47609",
"MEDICAMENTO","51171630-002","VASELINA LIQUIDA","HABILITADO","2899","false","DERMATOLOGICOS","MEDICAMENTO -EMOLIENTES Y PROTECTORES","","LIQUIDO","FRASCO","D","DERMATOLOGICOS","2","MEDICAMENTO -EMOLIENTES Y PROTECTORES","LISTADO BASICO","47610",
"MEDICAMENTO","51152004-002","VECURONIO","HABILITADO","2900","false","SISTEMA MUSCULOESQUELETICO","MEDICAMENTO -RELAJANTES MUSCULARES","4 MG/ML __","INYECTABLE","AMPOLLA X 1 ML","M","SISTEMA MUSCULOESQUELETICO","3","MEDICAMENTO -RELAJANTES MUSCULARES","LISTADO BASICO","47611",
"MEDICAMENTO","51111812-001","VINBLASTINA","HABILITADO","2901","false","ANTINEOPLASICOS E INMUNOMODULARES","MEDICAMENTO -ANTINEOPLÁSICOS","10 MG _","INYECTABLE","FRASCO AMPOLLA","L","ANTINEOPLASICOS E INMUNOMODULARES","1","MEDICAMENTO -ANTINEOPLÁSICOS","LISTADO BASICO","47612",
"MEDICAMENTO","51191905-023","VITAMINA B1 B6 B12","HABILITADO","2902","false","TRACTO ALIMENTARIO Y METABOLISMO","MEDICAMENTO -VITAMINAS","100-250MG+50-250MG+10MG __","INYECTABLE","AMPOLLA X 2 ML","A","TRACTO ALIMENTARIO Y METABOLISMO","11","MEDICAMENTO -VITAMINAS","LISTADO BASICO","47613",
"MEDICAMENTO","51191905-051","VITAMINAS A, C, D","HABILITADO","2903","false","TRACTO ALIMENTARIO Y METABOLISMO","MEDICAMENTO -VITAMINAS","3.000 UI A 5.000 UI + 1.000 UI   50 A 75 MG/ML __","LIQUIDO ORAL","FRASCO GOTERO","A","TRACTO ALIMENTARIO Y METABOLISMO","11","MEDICAMENTO -VITAMINAS","LISTADO BASICO","47614",
"MEDICAMENTO","51131604-001","WARFARINA","HABILITADO","2904","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -AGENTES ANTITROMBÓTICOS","5 MG __","COMPRIMIDO","BLISTER X 10","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","1","MEDICAMENTO -AGENTES ANTITROMBÓTICOS","LISTADO BASICO","47615",
"MEDICAMENTO","","ZALCITABINA","HABILITADO","2905","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","40 MG __","COMPRIMIDO","BLISTER X 10","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47616",
"MEDICAMENTO","","ZIDOVUDINA","HABILITADO","2906","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","100 MG _","CAPSULA","BLISTER X 10","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47617",
"MEDICAMENTO","","ZIDOVUDINA","HABILITADO","2907","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","10 MG / ML __","INYECTABLE","AMPOLLA","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47618",
"MEDICAMENTO","51102321-001","ZIDOVUDINA","HABILITADO","2908","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","20 MG/ML __","LIQUIDO ORAL","FRASCO","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47619",
"MEDICAMENTO","51102321-003","ZIDOVUDINA+LAMIVUDINA","HABILITADO","2909","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","300 MG+150 MG __","COMPRIMIDO","BLISTER X 10","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47620",
"MEDICAMENTO","51191905-9998","ZINC (SULFATO)","HABILITADO","2910","false","TRACTO ALIMENTARIO Y METABOLISMO","MEDICAMENTO -SUPLEMENTOS MINERALES","10 MG / 5ML __","LIQUIDO ORAL","FRASCO 100ML","A","TRACTO ALIMENTARIO Y METABOLISMO","12","MEDICAMENTO -SUPLEMENTOS MINERALES","LISTADO BASICO","47621",
"MEDICAMENTO","","ZINC (SULFATO)","HABILITADO","2911","false","TRACTO ALIMENTARIO Y METABOLISMO","MEDICAMENTO -SUPLEMENTOS MINERALES","20 MG __","COMPRIMIDO","BLISTER X 10","A","TRACTO ALIMENTARIO Y METABOLISMO","12","MEDICAMENTO -SUPLEMENTOS MINERALES","LISTADO BASICO","47622",
"MEDICAMENTO","","DIPIRONA (METAMIZOL SODICO)","HABILITADO","2912","false","SISTEMA NERVIOSO","MEDICAMENTO -ANALGÉSICOS","250 MG/5 ML __","LIQUIDO ORAL","FRASCO","N","SISTEMA NERVIOSO","2","MEDICAMENTO -ANALGÉSICOS","LISTADO BASICO","47623",
"MEDICAMENTO","51161505-002","TEOFILINA ANHIDRA","HABILITADO","2913","false","","","100 MG _","COMPRIMIDO","BLISTER","","","","","DONACION","47624",
"MEDICAMENTO","51131503-009","HIERRO ELEMENTAL (SULFATO FERROSO)","HABILITADO","2914","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -PREPARADOS ANTIANÉMICOS","30 MG __","LIQUIDO ORAL","FRASCO GOTERO","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","3","MEDICAMENTO -PREPARADOS ANTIANÉMICOS","LISTADO BASICO","47625",
"MEDICAMENTO","","ALBENDAZOL","HABILITADO","2915","false","ANTIPARASITARIOS, INSECTICIDAS Y REPELENTES","MEDICAMENTO -ANTIHELMÍNTICOS","400 MG __","LIQUIDO ORAL","FRASCO 10ML","P","ANTIPARASITARIOS, INSECTICIDAS Y REPELENTES","2","MEDICAMENTO -ANTIHELMÍNTICOS","LISTADO BASICO","47626",
"MEDICAMENTO","","ATENOLOL","DESHABILITADO","2916","false","","","100 MG _","COMPRIMIDO","BLISTER","","","","","DONACION","47627",
"MEDICAMENTO","51121904-002","NIFEDIPINA","HABILITADO","2917","false","","","10 MG _","COMPRIMIDO","BLISTER","","","","","DONACION","47628",
"MEDICAMENTO","","RIFAMICINA","HABILITADO","2920","false","","","1 % _","SOLUCION SPRAY","FRASCO","","","","","DONACION","47629",
"MEDICAMENTO","","GENTAMICINA SULFATO","DESHABILITADO","2923","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","400 MG __","INYECTABLE","FRASCO AMPOLLA","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47630",
"MEDICAMENTO","","GLICEMIA/GLUCOSA","HABILITADO","2937","false","","","","DETERMINACION","CAJA","","","","","DONACION","47631",
"MEDICAMENTO","","PETIDINA (MEPERIDINA) CLORHIDRATO","HABILITADO","2954","false","","","100 MG/ML __","INYECTABLE","FRASCO AMPOLLA","","","","","DONACION","47632",
"MEDICAMENTO","","FORMULA PARA LACTANTES SIN LACTOSA","HABILITADO","2963","false","","","70 CAL / 100 ML _","POLVO","FRASCO X 400 GR","","","","","DONACION","47633",
"MEDICAMENTO","","PENTOXIFILINA","HABILITADO","2965","false","","","400 MG __","COMPRIMIDO","BLISTER","","","","","DONACION","47634",
"MEDICAMENTO","51181501-001","ACARBOSA","DESHABILITADO","2967","false","","","100 MG _","COMPRIMIDO","CAJA X 30","","","","","DONACION","47635",
"MEDICAMENTO","","ERITROPOYETINA ALFA","HABILITADO","2968","false","","","10.000 UI __","INYECTABLE","JERINGA PRECARGADA","","","","","DONACION","47636",
"MEDICAMENTO","","IODOPOVIDONA","HABILITADO","2969","false","DERMATOLOGICOS","MEDICAMENTO -ANTISÉPTICOS Y DESINFECTANTES","10 G / 1000 ML _","SOLUCION","FCO. OSC. PEAD X 1 L","D","DERMATOLOGICOS","8","MEDICAMENTO -ANTISÉPTICOS Y DESINFECTANTES","LISTADO BASICO","47637",
"MEDICAMENTO","","ANFOTERICINA B LIPOSOMAL","HABILITADO","2970","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIMICÓTICOS PARA USO SISTÉMICO","50 MG __","INYECTABLE","AMPOLLA","J","ANTIINFECCIOSOS PARA USO SISTEMICO","2","MEDICAMENTO -ANTIMICÓTICOS PARA USO SISTÉMICO","LISTADO BASICO","47638",
"MEDICAMENTO","51101715-001","PERMETRINA","HABILITADO","2979","false","ANTIPARASITARIOS, INSECTICIDAS Y REPELENTES","MEDICAMENTO -ECTOPARASITICIDAS, INCL. ESCABICIDAS, INSECTICIDAS Y REPELENTES","0,05 _","LOCION","FRASCO 50ML","P","ANTIPARASITARIOS, INSECTICIDAS Y REPELENTES","3","MEDICAMENTO -ECTOPARASITICIDAS, INCL. ESCABICIDAS, INSECTICIDAS Y REPELENTES","LISTADO BASICO","47639",
"MEDICAMENTO","41104112-004","SISTEMA CERRADO DE RECOLECCION DE ORINA","HABILITADO","2991","false","","","","8 FR","ENVASE ESTERIL INDIVIDUAL","","","","","DONACION","47640",
"MEDICAMENTO","51102706-001","AC. PERAC. + PEROX. D/ HIDROGENO   ACIDO ACETILICO","HABILITADO","3037","false","","","10 G / 1000 ML _","NO SE APLICA","BIDON X 5 LITROS","","","","","DONACION","47641",
"MEDICAMENTO","","MANGO P/ ANSAS BACTERIOLOGICO","HABILITADO","3090","false","","","","NO SE APLICA","UNIDAD","","","","","DONACION","47642",
"MEDICAMENTO","51142138-001","KETOROLAC","HABILITADO","3210","false","SISTEMA MUSCULOESQUELETICO","MEDICAMENTO -ANTIINFLAMATORIOS Y ANTIRREUMÁTICOS","60 MG __","INYECTABLE","AMPOLLA X 2 ML","M","SISTEMA MUSCULOESQUELETICO","1","MEDICAMENTO -ANTIINFLAMATORIOS Y ANTIRREUMÁTICOS","LISTADO BASICO","47643",
"MEDICAMENTO","51191601-003","SOLUCION DEXTROSA","HABILITADO","3211","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PERFUSIÓN","10 %","INYECTABLE","FRASCO 500ML","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","5","MEDICAMENTO -SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PERFUSIÓN","LISTADO BASICO","47644",
"MEDICAMENTO","","CIPROFLOXACINA","DESHABILITADO","3214","false","","","400 MG/ 200 ML _","INYECTABLE","AMPOLLA MINIMO X 200 ML","","","","","DONACION","47645",
"MEDICAMENTO","","FORMULA POLIMERICA CON PROTEINA A BASE DE SOJA","HABILITADO","3215","false","","","400 MG/ 200 ML _","POLVO","FRASCO X 400 GR","","","","","DONACION","47646",
"MEDICAMENTO","","FORMULA SEMIELEMENTAL SIN LACTOSA","HABILITADO","3216","false","","","400 MG/ 200 ML _","POLVO","FRASCO X 400 GR","","","","","DONACION","47647",
"MEDICAMENTO","","AMBROXOL","DESHABILITADO","3267","false","","","15 MG / 5 ML _","LIQUIDO ORAL","FRASCO 100 ML","","","","","DONACION","47648",
